,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_max_ft,estimated_diameter_min_ft,close_approach_date,miss_distance_miles,relative_velocity_mph
64,54235433,54235433,(2022 AM),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235433,28.18,False,False,45.0842687532,20.1622979296,2022-01-06,430117.2228708512,23676.3388676448
65,54235470,54235470,(2022 AB1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235470,28.5,False,False,38.9067567758,17.3996305869,2022-01-06,377478.1253889458,13320.694207333
66,54235663,54235663,(2022 AO2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235663,24.19,False,False,283.1555184142,126.6309974757,2022-01-06,5948904.0478947514,37391.6188743457
67,54236443,54236443,(2022 AY4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54236443,29.7,False,False,22.388501681,10.0124423346,2022-01-06,187679.4083361856,38500.7743656955
68,54236579,54236579,(2022 AR5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54236579,26.81,False,False,84.7276244411,37.8913455645,2022-01-06,1300740.1120325344,25448.585510304
69,2363505,2363505,363505 (2003 UC20),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2363505,18.33,True,False,4207.5087712198,1881.6551256748,2022-01-01,14658911.23049784,28002.7017130013
70,2376848,2376848,376848 (2001 RY47),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2376848,19.52,False,False,2432.3441900671,1087.7773907333,2022-01-01,31798924.2748956874,39595.4021909427
71,2488490,2488490,488490 (2000 AF205),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2488490,21.87,True,False,824.1856145234,368.5870120303,2022-01-01,37850309.5333251932,47148.0346981851
72,3388081,3388081,(2007 TL23),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3388081,21.48,True,False,986.3363302205,441.1030166101,2022-01-01,18375701.586513071,69569.7680960974
73,3592308,3592308,(2012 AP10),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3592308,26.5,False,False,97.7293544391,43.7058959846,2022-01-01,36914438.0172330598,35781.3050833784
74,3744561,3744561,(2016 CN248),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3744561,27.3,False,False,67.6121941689,30.2370924539,2022-01-01,37803971.8541585442,23931.0449337184
75,3775153,3775153,(2017 KU34),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3775153,23.6,False,False,371.5566426699,166.1651821003,2022-01-01,17045407.3472059922,22695.7884187872
76,3825582,3825582,(2018 NQ1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3825582,25.1,False,False,186.2194458756,83.279867942,2022-01-01,43150545.8248789554,17450.0748492814
